name,no,approximate_price,apply_date,auction_date,İhale Saati,auction_price,auction_no,contract_date,notes
4 kalem Optik Donanım Listesi,TARLA-2017TSDN003,64410,20.04.2017-29.06.2017,03.08.2017,14:00:00,56050,122324,8 hafta=2 ay-17.11.2017,"Alımın İçeriği

1. 1(bir) adet Optik masa sehpası
2. 1(bir) adet 300mm doğrusal kızak (Motor Dahil)
3. 5(beş) adet fotodiode detektör
4. 5(beş) adet fototüp detektör"
Azot Transfer Hattı İmalat Hizmeti ,TARLA-2017TSHZ011,152650,27.04.2017,12.10.2017,15:00:00,114330,122704,26.10.2017- 10.12.2017,
3 Kalem İmalat Hizmeti ,TARLA-2017TSHZ012,,2.5.2017,19.06.2017,10:00:00,123900,121868,03.07.2017-60 gün-01.09.2017,"Alımın İçeriği

6 Adet Solenoid Magnet İmalat Hizmeti
2 Adet Enjektör Dipole Magnet İmalat Hizmeti
2 Adet Enjektör Spekrtrometre İmalat Hizm"
 Güçmetre ,TARLA-2017TSDN006,54499,2.5.2017,29.05.2017,15:10:00,59000,121595,,
250 keV Normal İletken Hızlandırıcı Yüksek Gerilim Hattının Elektrik Altyapısı ,TARLA-2017TSHZ015,52100,5.5.2017,29.05.2017,15:30:00,48380,121601,,
Mekanik Tasarım Destek Hizmeti,TARLA-2017TSHZ013,52150,5.5.2017,29.05.2017,15:20:00,40710,121598,30.05.2017-30.08.2017,
Kişisel Doz Takip Sistemi Yazılım Hizmeti ,TARLA-2017TSHZ014,54000,5.5.2017,06.07.2017,14:00:00,33984," 122018
",07.07.2017-07.08.2017,
Özel Elektronik Devre Tasarım Destek Hizmeti ,TARLA-2017TSHZ016,52200,5.5.2017,06.07.2017,14:10:00,56640,122021,07.07.2017-05.09.2017,
10 Kalem Malzeme Alımı,TARLA-2017TSDN005,,9.5.2017,01.06.2017,14:40:00,16107,121721,,"Alımın İçeriği

Avuç İçi Taşlama Makinası(2 adet)
Büyük Taşlama Makinası (2 adet)
Akülü Darbeli Matkap Vidalama Aleti (2 adet)
Pah kırma makinası (1 adet)(Mengene ve 3 açılı freze mengenesi)
Hassas mengene (1 adet)
Plastik Boru Kaynak Makinası(1 adet)
Çanta tipi oksijen kaynağı seti 6lt (1 adet)
Takım Arabası (2 adet)
Takım Arabası (1 adet)
Test ve Ölçüm Cihazı Taşıma Arabası (1 adet)"
Monitör Askı Aparatı,TARLA-2017TSDN009,,10.5.2017,01.06.2017,14:50:00,17110,121724,,"Alımın İçeriği

1. Masa Tipi Tek Kollu Monitör Askı Aparatı
2. Masa Tipi Çift Kollu Monitör Askı Aparatı
3. Duvar Tipi Tek Kollu Monitör Askı Aparatı
4. Profil Tipi Tek Kollu Monitör Askı Aparatı"
30 Kalem Sarf Malzeme Alımı ,,,8.5.2017,29.05.2017,15:40:00,44250,121610,,"Alımın İçeriği

22x1mm bakır boru (boy)20Adet
28x1 mm bakır boru (boy)20Adet
22mm bakır manşon50Adet
28 mm bakır manşon50Adet
15 mm bakır manşon50Adet
22 mm bakır dirsek50Adet
28 mm bakır dirsek 50Adet
15 mm bakır dirsek50Adet
22 mm bakır Tel50Adet
28 mm bakır Tel50Adet
15 mm bakır Tel50Adet
22x15x22 mm bakır inegal Tel20Adet
28x15x28 mm bakır inegal Tel20Adet
15x12 mm bakır redüksyon20Adet
15 mm kaynaklı küresel vana10Adet
Rotherm 2000 bakır boru lehim makinası kömürü (çift)5Adet
3 mm lehim teli5Adet
Gri lehim pastası6Adet
DIN EN 1044 2 mm bakır kaynak teli3paket
DIN EN 1044 1 mm %30 Gümüş kaynak teli3paket
asetilen 6Kg
oksijen gazı18lt
monoetilen 1Ton
LPG (12 lt tüp)3Adet
Argon gazı 150lt
Helyum gazı250lt
Balık sırtı alimimyum kablo kanalı 100boy
Balık Sırtı alimimyum kablo kanalı düz bağlantı30Adet
Balık Sırtı alimimyum kablo kanalı dirsek bağlantı30Adet
Su ve hava tesissat koruma kasisi (1m)20Adet"
14 Kalem Yazılım Malzeme Alımı,,,8.5.2017,29.05.2017,15:50:00,17700,121613,2 hafta,"Alımın İçeriği
E-draw1Adet
ASME Section IX Kaynak Sertifikası1Adet
ASME B31.3: Borulama Proses Sertifikası1Adet
ISO 15614-1 Standart1Adet
ISO 14644-1:2015 Standart1Adet
ISO 14644-2:2015 Standart1Adet
ISO 14644-4:2001 Standart1Adet
ISO 14644-9:2012 Standart1Adet
ISO/FDIS 14644-13 Standart1Adet
ISO 11625:2007 Standart1Adet
IEC EN 61511-1 Standart1Adet
IEC EN 61511-2 Standart1Adet
IEC EN 61511-3 Standart1Adet
E-plan1Adet"
Rogar Kapağı Tadilat Hizmeti,TARLA-2017TSHZ017,,11.05.2017,01.06.2017,15:40:00,57230,121754,12.06.2017-17.07.2017,
Dizel  Jeneratörler için Dizel Yakıt Alımı,"TARLA-2017TSRF003
","29151,2",10.04.2017,29.05.2017,14:40:00,34220,121586,,
32 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF004,,12.05.2017,01.06.2017,15:30:00,51861,121736,,"Alımın İçeriği

Parelel set (1 adet)
Rutil elektrot (10 kutu)
Elmas eğe seti (1 adet)
Karbür kalıpçı freze seti (1 adet)
T kanal freze çakısı (22 adet)
Çok amaçlı pas sökücü (10 adet)
Kademeli matkap ucu (6 adet)
İnşaat spatulası (2 adet)
Taşlama taşı (6 adet)
Kesme taşı (20 kutu)
Flap disk zımpara (5 kutu)
3D tester (1 adet)
Kombine gaz taşı (20 adet)
Su zımparası (20 adet)
Elmas çanak taş (2 adet)
Süngerli su zımparası (5 adet)
Taş düzeltme elması (2 adet)
Freze tarama kafası (5 adet)
Freze şaftlı tarama kafası (10 adet)
Makine rayba seti (2 adet)
Seramik kesici uç takımı (20 adet)
Karbür kesici uç takımı (20 adet)
Parmak freze seti (3 adet)
Bahçe testeresi (2 adet)
Budama makası küçük (2 adet)
Budama makası büyük (2 adet)
Tırmık (3 adet)
Kürek (3 adet)
Bel (3 adet)
Kazma (3 adet)
Sarhoş tekerlek tip 1 (2 adet)
Düz ray tekerlek tip 1 (4 adet)"
11 Kalem Sarf Malzeme Alımı (Temiz Oda Sarfları),TARLA-2017TSRF007,,22.05.2017,01.06.2017,15:10:00,20156,121730,,
Etiket Makinası,TARLA-2017TSDN010,,22.05.2017,01.06.2017,15:20:00,15930,121733,,
"
                                                                                                                                                                                                    Baca Gazı İyonize Hava Monitor Sistemi Tasarım Hizmeti",TARLA-2017TSHZ018,81000,23.05.2017,,,65256,,Doğrudan Temin ve mal mukabili olduğu için sözleşme yapılmadı.işin süresi toplam 18 ay,
3 Kalem Optik Masa,TARLA-2017TSDN011,257204,19.09.2017-22.11.2017,12.12.2017,10:00:00,330900,122913,Teslim süresi:16 hafta,"Alımın İçeriği:
Malzemenin Cinsi MiktarıÖlçü Birimi
Optik Masa Tip 1   1Adet
Optik Masa Tip 2   1Adet
Optik Masa Tip 3       1Adet"
Frekans Kontrollü AC Motor Sürücü Alımı,TARLA-2017TSDN012,,22.05.2017,06.07.2017,14:20:00,11505,"122024
",,
Vakum sensörü,TARLA-2017TSDN013,,22.05.2017,01.06.2017,15:00:00,"6690,6",121727,,
Master Osilatör,TARLA-2017TSDN007,310000,42878,19.06.2017,,"306013,94",,,
Nano Boyutlu FTIR Spektroskopi Sistemi,TARLA-2017TSDN008,2700000,23.05.2017,19.06.2017,,2700000,,03.04.2018 (son yükleme tarihi),
170 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF014,"265578,33",01.06.2017,12.10.2017,14:00:00,218450,122703,26.10.2017- 10.12.2017-15.02.2018,
,,,,,,,,,
Elemental Analiz Spektrometresi,TARLA-2017TSDN014,"73985,54",06.06.2017,,,"83655,61",,,
Çözünmüş Oksijen sensörü,TARLA-2017TSDN015,57415,06.06.2017,06.07.2017,14:50:00,60355," 122033
",,
İnternet Kenar Anahtar,,86799,13.06.2017,,,102422,,,DMO’dan alındı.Avans olarak alındı
Kontrol odası tasarım üretim ve kurulum hizmeti,TARLA-2017TSHZ019,57850,14.06.2017,06.07.2017,14:40:00,57525,122030,07.07.2017-04.10.2017,
Seminer Salonu Tadilatı ve Onarımı Hizmeti ,TARLA-2017TSHZ020,57500,16.06.2017,06.07.2017,14:30:00,46964," 122027
",sözleşme imzalanmadı,
23 Kalem Sarf Malzeme Elektrik Alımı,TARLA-2017TSRF005,36444.64,21.06.2017,17.08.2017,14:00:00,33000+kdv,"122477
",teslim süresi:15 gün,"Alımın İçeriği   1Termik manyetik koruma, 3 kutuplu , 32 A Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)10Adet
2Termik manyetik koruma, 3 kutuplu , 63 A Motorlu Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)10Adet
3Termik manyetik koruma, 3 kutuplu , 80 A Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)5Adet
4Termik manyetik koruma, 3 kutuplu , 125 A Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)5Adet
5Termik manyetik koruma, 3 kutuplu , 250 A Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)3Adet
6Termik manyetik koruma, 3 kutuplu , 400 A Termik Manyetik Şalter (tam takım halinde, düşük gerilim bobini kapama bobini)2Adet
7Pano tipi enerji analizörleri15Adet
8Şeffaf makaron tip13Adet
9Şeffaf makaron tip23Adet
10Şeffaf makaron tip33Adet
11Şeffaf makaron tip43Adet
12Kaçak akım rölesi 4x25 mA 10Adet
13Kaçak akım rölesi 4x32 mA 10Adet
14Kaçak akım rölesi 4x50 mA 5Adet
15Kaçak akım rölesi 4x63 mA 5Adet
16Darbe akım anahtarı (kanal tipi)50Adet
17Darbe akım rölesi (24 VDC)20Adet
18Darbe akım rölesi (220 VAC)20Adet
19Çift taraflı köpük bant50Adet
20Astronomik zamanlayıcı2Adet
21Sigorta tipi faz baraları (2 metre)10Adet
224000 A Bus-Bar için Akım alma kutusu(63 A)3Adet
234000 A Bus-Bar için Akım alma kutusu(160 A) 3Adet
"
Femto Saniye Lazer Yükselteç Sistemi,TARLA-2017TSDN016,"4947660,08",22.06.2017,10.10.2017,10:00:00,798900,,teslim süresi:200 gün,
Trafo Bakım Onarım İşleri,TARLA-2017TSBO002,18900,29.06.2017,17.08.2017,14:10:00,19765,122480,18.08.2017-18.08.2018 (1.hakediş ödemesi yapıldı),
2 adet dijital veri toplama kartı,TARLA-2017TSRF006,9300,29.06.2017,03.08.2017,14:10:00,,122327,,
Muhtelif Kimyasal Sıvı ve Gazlar(Helyum=25 adet),,24000,30.06.2017,06.07.2017,16:00:00,23411,122057,,
10 Kalem Malzeme Alımı (Step Motor Tip 1 ve Tip2),TARLA-2017TSRF008,32000,11.07.2017,03.08.2017,14:20:00,33040,122330,,
Kompanzasyon Bakım Onarım İşleri,TARLA-2017TSBO003,14000,12.07.2017,17.08.2017,14:20:00,13924,122483,18.08.2017-18.08.2018,
2 Kalem Kontrol Donanım Alımı (Endüstriyel Sunucu ve Endüstriyel Medya Çevirici),TARLA-2017TSDN018,31630,18.07.2017,03.08.2017,14:30:00,,122333,,
30 Kalem Sarf Malzeme Alımı ,TARLA-2017TSRF009,"246812,5",26.07.2017,01.11.2017,14:00:00,198000,122790,13.11.2017-10.12.2017-24.02.2018,"Alımın İçeriği

UHV elektrik feedthrough tip 2 (30 adet)
UHV elektrik izolator tip 1 (8 adet)
UHV elektrik izolator tip 2 (4 adet)
DN63-DN63 UHV elektrik izolator (5 adet)
DN63 UHV köşe kaynaklı körük (5 adet)
DN40 UHV köşe kaynaklı körük (5 adet)
DN63 UHV bükme körük tip 1 (6 adet)
DN63 UHV bükme körük tip 2 (6 adet)
Zirkonia Allen Basli civata M3x15 (25 adet)
Zirkonia Allen Basli civata M3x20 (50 adet)
Zirkonia Allen Basli civata M3x25 (10 adet)
Zirkonia Allen Basli civata M4x15 (10 adet)
Zirkonia Allen Basli civata M4x20 (10 adet)
Zirkonia Allen Basli civata M4x25 (10 adet)
Zirkonia M3 pull (100 adet)
Zirkonia M4 pull (50 adet)
Zirkonia M3 somun (50 adet)
Zirkonia M4 somun (50 adet)
Sermik Elektrik izaolatör ayıraç (standoff) tip 1 (15 adet)
Sermik izaolatör ayıraç (standoff) tip 1 (15 adet)
Aluminyum nitrat levha tip 1 (5 adet)
Aluminyum nitrat levha tip 2 (5 adet)
Aluminyum nitrat levha tip 3 (5 adet)
OFHC Bakır rot tip 1 (1,8m) (1 adet)
S 316 L çelik rot tip 1 (2 adet)
S 316 L çelik rot tip 2 (2 adet)
S 316 L çelik rot tip 3 (2 adet)
Aluminyum blok tip 1 (100 adet)
Aluminyum blok tip 2 (100 adet)
Aluminyum blok tip 3 (100 adet)"
Güçmetre,TARLA-2017TSDN019,57950,27.07.2017,17.08.2017,14:30:00,"61542,9",122486,8 hafta=2 ay,
Muhtelif Kimyasal Sıvı ve Gazlar(Helyum=70 adet),,56000,28.07.2017,03.08.2017,14:40:00,64428,122351,,
Güvenlik Giriş Kapısı ve Çevre Düzenlemesi Kurulum Hizmeti,TARLA-2017TSHZ021,585000,08.08.2017,22.11.2017,11:00:00,545000+KDV,122850,05.12.2017-05.03.2018,
TARLA Tesisi Misafirhane Tadilat Hizmeti,TARLA-2017TSHZ022,57800,09.08.2017,17.08.2017,14:40:00,50622,122489,18.08.2017-26.09.2017 (30 gün),
4 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF010,,18.08.2017,20.09.2017,10:00:00,200000,,Teslim süresi:30 hafta,"Alımın İçeriği

1. 8 adet Bidireksiyonel Kuplör
2. 2 adet 3 kademeli RF empedans ayarlayıcı (3stub_tuner) tip 1
3. 2 adet 3 kademeli RF empedans ayarlayıcı (3stub_tuner) tip 2
4. 4 adet Yüksek güç RF yük"
53 Kalem Sarf Malzeme Alımı,,"96077,83",18.08.2017,,,,,,"DN40CF/DN40KF adaptör15adet
DN100CF/DN40CF adaptör10adet
ISO100/DN40KF adaptör10adet
ISO100/DN100CF adaptör5adet
ISO63/DN40KF adaptör5adet
ISO63/DN50KF adaptör8adet
ISO100/ISO63 adaptör4adet
ISO100/DN25KF adaptör6adet
ISO63/DN25KF adaptör6adet
DN16CF/DN25KF adaptör6adet
DN40KF/DN25KF adaptör10adet
DN25KF T-cross4adet
DN25KF 4-cross4adet
DN40KF T-cross6adet
DN40KF 4-cross6adet
DN50KF T-cross6adet
DN50KF 4-cross4adet
DN50KF 900 dirsek8adet
DN40KF esnek bağlantı 1m10adet
DN25KF esnek bağlantı 1m10adet
DN25KF esnek bağlantı 0.5m10adet
DN50KF esnek bağlantı 0.5m3adet
DN50KF esnek bağlantı 0.75m3adet
ISO100 merkezleme halkası20adet
ISO100 kör flanş10adet
ISO100 o-ring, tip150adet
ISO100 o-ring, tip250adet
ISO63 merkezleme halkası20adet
ISO63 kör flanş10adet
ISO63 o-ring, tip150adet
ISO63 o-ring, tip250adet
DN40KF merkezleme halkası25adet
DN40KF kör flanş20adet
DN40KF o-ring75adet
DN50KF merkezleme halkası20adet
DN50KF kör flanş10adet
DN50KF o-ring, tip150adet
DN50KF o-ring, tip250adet
DN25KF merkezleme halkası20adet
DN25KF kör flanş10adet
DN25KF o-ring, tip150adet
DN25KF o-ring, tip250adet
DN25KF clamp25adet
DN40KF clamp25adet
DN50KF clamp25adet
ISO-K clamp (63-100)150adet
ISO-F clamp (63-100)100adet
DN63CF 90 dirsek4adet
DN16CF bakır gasket25adet
DN25CF bakır gasket10adet
DN40CF bakır gasket100adet
DN63CF bakır gasket50adet
DN100CF bakır gasket25adet
"
"Sirkülatör Tip 1,Sirkülatör Tip 2",TARLA-2017TSRF011,"108382,82",23.08.2017,20.09.2017,10:00:00,130000,,Taahhüt ettiği süre: 16-18 hafta,
3 Kalem Hizmet Alımı,TARLA-2017TSHZ023,271400,05.09.2017,01.11.2017,15:00:00,"211864,4",122791,13.11.2017-12.01.2018,"                          Alımın İçeriği                                   KF25/ISO100 Dönüştürücü Port İmalatı 2 Adet 
 Vakum Kazanı İmalatı Tip1 2 Adet 
 Vakum Kazanı İmalatı Tip2 2 Adet"
Ayarlanabilir Yüksek Gerilim Güç Kaynağı Tip 1 ,TARLA-2017TSDN017,33937,06.09.2017,26.09.2017,14:00:00,31000+kdv,122650,temin süresi:60 gün-25.11.2017-(ek süre verildi 15.12.2017-25.12.2017),
